n    , L1AlgoName                                                     , 2.20   , 2.00   , 2.01   , 2.02   , 1.80   , 1.81    POG         , PAG           , Comment                         , uGT 
266  , L1_Mu7_IsoEG20                                                 , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , Top           , L1TDPG76  #Sergio23             ,     
267  , L1_Mu7_IsoEG23                                                 , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , Top           , L1TDPG76  #Sergio3              ,     
268  , L1_HTT250er_QuadJet_70_55_40_35_er2p5                          , 0      , 0      , 0      , 0      , 0      , 0      , Cross       , Top           , L1TDPG84 #Marina(1.8)           ,     
269  , L1_HTT280er_QuadJet_70_55_40_35_er2p5                          , 0      , 0      , 0      , 0      , 0      , 0      , Cross       , Top           , L1TDPG84   #Marina(1.8&2)       ,     
270  , L1_HTT300er_QuadJet_70_55_40_35_er2p5                          , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , Top           , L1TDPG84   #Marina(2)           ,     
275  , L1_DoubleJet100er2p3_dEta_Max1p6                               , 0      , 1      , 0      , 0      , 1      , 1      , Correlation , HIG           , #L1TDPG38                       ,     
276  , L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6 , 0      , 0      , 0      , 0      , 0      , 0      , Cross       , HIG           , #L1TDPG38                       ,     
277  , L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6 , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , HIG           , #L1TDPG38                       ,     
278  , L1_IsoTau40er_ETM80                                            , 0      , 0      , 0      , 0      , 0      , 0      , Cross       , HIG           , #L1TDPG48                       ,     
279  , L1_IsoTau40er_ETM85                                            , 0      , 0      , 0      , 0      , 0      , 0      , Cross       , HIG           , #L1TDPG48                       ,     
280  , L1_IsoTau40er_ETM90                                            , 0      , 0      , 0      , 0      , 0      , 0      , Cross       , HIG           , #L1TDPG48                       ,     
281  , L1_IsoTau40er_ETM95                                            , 0      , 0      , 0      , 0      , 1      , 0      , Cross       , HIG           , #L1TDPG48                       ,     
